k,curve_a,curve_b,curve_p,order,P.x,P.y,Q.x,Q.y,X_i.x,X_i.y,A_i,B_i,x_i.x,x_i.y,a_i,b_i
100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1258207784624201511195965495200,1299347634929363495600199137581,831081874335128,296586104947594,569180242666313989110815519916,1133812742225348937943266566452,839679170261551,323557591239618
200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,569180242666313989110815519916,1133812742225348937943266566452,839679170261551,323557591239618,942972135041172379085259398082,96941001090165799026499449444,666185264019525,485005128417692
300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,685753518609096487552630426027,196610014281937032008006584859,111984972274560,306155466809948,987683674369192083193143969004,332878341925673690368229699862,422329298706963,73101510536903
400000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,942972135041172379085259398082,96941001090165799026499449444,666185264019525,485005128417692,360342435337772519684901970186,694157336497470580011785246421,275588998830792,545547368053128
500000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,497864727867256233292833791511,799048287309790625398774357567,850777220089111,1133377459570077,776728211570722124995164451349,637917682951270440234423601016,341291897011474,1124871478462347
600000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,987683674369192083193143969004,332878341925673690368229699862,422329298706963,73101510536903,315368940853733597944454882898,770026193005351633160601073678,504529445015292,1048253113329605
700000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,659457751081020713556574498095,314626324069018378809154110020,23564623649442,605699195260407,232648095867539267683133738112,1310509132835143416070726613802,431230690422164,904568636864528
800000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,360342435337772519684901970186,694157336497470580011785246421,275588998830792,545547368053128,352383670987424520288376773936,255147438843942702140259845694,252505375791523,1115717954990566
900000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,1273450557523841117990574886861,691642498074871745406934263171,183596988340389,268841705964950,252861558958476438455922459573,1166037274116006649964800784614,1080439467435070,355299009118201
1000000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,776728211570722124995164451349,637917682951270440234423601016,341291897011474,1124871478462347,831268628332514434062426136666,713443961651930794147110740319,588018157840311,65834680740394
1100000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,17590880452248570132972638959,1165376596961230157190917624664,458423728334329,30015277363915,1194337140735121555640485839441,805881632397284417666265564466,386255621449591,238388809545196
1200000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,315368940853733597944454882898,770026193005351633160601073678,504529445015292,1048253113329605,261829713450956656001336373397,1171975787589980726884246407838,908992029362954,1028846770880867
1300000,-35,98,1331169830894825846283645180581,1153763334005213,513790355677961677339711089503,826383845826281865370403576638,113155530967107107721855063813,1015480459109370604595193250002,170857720148149431452287019299,752688438900745706453585053083,492653226198287,175902165020043,275008232865896473443914829765,1298937142361041804131833820234,195606875314140,721007983027959
